Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match URLs
Nepal,U.A.E.,Nepal,7 wickets,Mulpani,"Oct 18, 2023",T20I # 2319,https://www.espncricinfo.com/series/nepal-tri-nation-t20i-series-2023-24-1403272/nepal-vs-united-arab-emirates-1st-match-1403288/full-scorecard
Nigeria,Rwanda,Nigeria,17 runs,Lagos,"Oct 15, 2023",T20I # 2318,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/nigeria-vs-rwanda-final-1400991/full-scorecard
Gibraltar,Luxembourg,Luxembourg,11 runs,Gibraltar,"Oct 15, 2023",T20I # 2317,https://www.espncricinfo.com/series/luxembourg-in-gibraltar-2023-24-1400049/gibraltar-vs-luxembourg-2nd-t20i-1400056/full-scorecard
Ghana,Sierra Leone,Sierra Leone,6 wickets,Lagos,"Oct 15, 2023",T20I # 2316,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/ghana-vs-sierra-leone-3rd-place-play-off-1400990/full-scorecard
Gibraltar,Luxembourg,Gibraltar,24 runs,Gibraltar,"Oct 15, 2023",T20I # 2315,https://www.espncricinfo.com/series/luxembourg-in-gibraltar-2023-24-1400049/gibraltar-vs-luxembourg-1st-t20i-1400055/full-scorecard
Ghana,Sierra Leone,Ghana,5 runs,Lagos,"Oct 14, 2023",T20I # 2314,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/ghana-vs-sierra-leone-18th-match-1400989/full-scorecard
Nigeria,Rwanda,Nigeria,8 wickets,Lagos,"Oct 14, 2023",T20I # 2313,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/nigeria-vs-rwanda-17th-match-1400988/full-scorecard
Nigeria,Sierra Leone,Nigeria,53 runs,Lagos,"Oct 12, 2023",T20I # 2312,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/nigeria-vs-sierra-leone-16th-match-1400987/full-scorecard
Ghana,Rwanda,Rwanda,9 wickets,Lagos,"Oct 12, 2023",T20I # 2311,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/ghana-vs-rwanda-15th-match-1400986/full-scorecard
Rwanda,Sierra Leone,Rwanda,5 wickets,Lagos,"Oct 11, 2023",T20I # 2310,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/rwanda-vs-sierra-leone-14th-match-1400985/full-scorecard
Nigeria,Ghana,Nigeria,5 wickets,Lagos,"Oct 11, 2023",T20I # 2309,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/nigeria-vs-ghana-13th-match-1400984/full-scorecard
Rwanda,Sierra Leone,Sierra Leone,2 runs,Lagos,"Oct 10, 2023",T20I # 2308,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/rwanda-vs-sierra-leone-12th-match-1400983/full-scorecard
Nigeria,Ghana,Nigeria,82 runs,Lagos,"Oct 10, 2023",T20I # 2307,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/nigeria-vs-ghana-11th-match-1400982/full-scorecard
Ghana,Rwanda,Rwanda,47 runs,Lagos,"Oct 8, 2023",T20I # 2306,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/ghana-vs-rwanda-10th-match-1400981/full-scorecard
Nigeria,Sierra Leone,Nigeria,9 wickets,Lagos,"Oct 8, 2023",T20I # 2305,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/nigeria-vs-sierra-leone-9th-match-1400980/full-scorecard
Bermuda,Canada,Canada,39 runs,Hamilton,"Oct 7, 2023",T20I # 2304,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-americas-region-final-2023-24-1399133/bermuda-vs-canada-12th-match-1399161/full-scorecard
Ghana,Sierra Leone,Ghana,8 wickets,Lagos,"Oct 7, 2023",T20I # 2303,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/ghana-vs-sierra-leone-8th-match-1400979/full-scorecard
Nigeria,Rwanda,Nigeria,6 wickets,Lagos,"Oct 7, 2023",T20I # 2302,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/nigeria-vs-rwanda-7th-match-1400978/full-scorecard
Afghanistan,India,no result,-,Hangzhou,"Oct 7, 2023",T20I # 2301,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/afghanistan-vs-india-final-1399120/full-scorecard
Bangladesh,Pakistan,Bangladesh,6 wickets,Hangzhou,"Oct 7, 2023",T20I # 2300,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/bangladesh-vs-pakistan-3rd-place-play-off-1399119/full-scorecard
Rwanda,Sierra Leone,Rwanda,33 runs,Lagos,"Oct 6, 2023",T20I # 2299,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/rwanda-vs-sierra-leone-6th-match-1400977/full-scorecard
Nigeria,Ghana,Nigeria,35 runs,Lagos,"Oct 6, 2023",T20I # 2298,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/nigeria-vs-ghana-5th-match-1400976/full-scorecard
Afghanistan,Pakistan,Afghanistan,4 wickets,Hangzhou,"Oct 6, 2023",T20I # 2297,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/afghanistan-vs-pakistan-2nd-semi-final-1399118/full-scorecard
Bangladesh,India,India,9 wickets,Hangzhou,"Oct 6, 2023",T20I # 2296,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/bangladesh-vs-india-1st-semi-final-1399117/full-scorecard
Ghana,Rwanda,tied,-,Lagos,"Oct 5, 2023",T20I # 2295,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/ghana-vs-rwanda-4th-match-1400975/full-scorecard
Gibraltar,Serbia,Gibraltar,7 wickets,Gibraltar,"Oct 5, 2023",T20I # 2294,https://www.espncricinfo.com/series/serbia-in-gibraltar-2023-24-1400047/gibraltar-vs-serbia-2nd-t20i-1400054/full-scorecard
Kuwait,Saudi Arabia,Kuwait,4 wickets,Doha,"Oct 5, 2023",T20I # 2293,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/kuwait-vs-saudi-arabia-12th-match-1399149/full-scorecard
Nigeria,Sierra Leone,Nigeria,63 runs,Lagos,"Oct 5, 2023",T20I # 2292,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/nigeria-vs-sierra-leone-3rd-match-1400974/full-scorecard
Gibraltar,Serbia,Gibraltar,7 wickets,Gibraltar,"Oct 5, 2023",T20I # 2291,https://www.espncricinfo.com/series/serbia-in-gibraltar-2023-24-1400047/gibraltar-vs-serbia-1st-t20i-1400053/full-scorecard
Qatar,Maldives,Qatar,42 runs,Doha,"Oct 5, 2023",T20I # 2290,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/qatar-vs-maldives-11th-match-1399148/full-scorecard
Bermuda,Panama,Bermuda,5 wickets,Hamilton,"Oct 4, 2023",T20I # 2289,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-americas-region-final-2023-24-1399133/bermuda-vs-panama-8th-match-1399157/full-scorecard
Ghana,Sierra Leone,Ghana,3 wickets,Lagos,"Oct 4, 2023",T20I # 2288,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/ghana-vs-sierra-leone-2nd-match-1400973/full-scorecard
Canada,Cayman Is,Canada,166 runs,Hamilton,"Oct 4, 2023",T20I # 2287,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-americas-region-final-2023-24-1399133/canada-vs-cayman-islands-7th-match-1399156/full-scorecard
Qatar,Saudi Arabia,Saudi Arabia,7 wickets,Doha,"Oct 4, 2023",T20I # 2286,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/qatar-vs-saudi-arabia-10th-match-1399147/full-scorecard
Nigeria,Rwanda,Nigeria,54 runs,Lagos,"Oct 4, 2023",T20I # 2285,https://www.espncricinfo.com/series/west-africa-trophy-2023-24-1400971/nigeria-vs-rwanda-1st-match-1400972/full-scorecard
Bangladesh,Malaysia,Bangladesh,2 runs,Hangzhou,"Oct 4, 2023",T20I # 2283,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/bangladesh-vs-malaysia-4th-quarter-final-1399116/full-scorecard
Kuwait,Maldives,Kuwait,8 wickets,Doha,"Oct 4, 2023",T20I # 2284,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/kuwait-vs-maldives-9th-match-1399146/full-scorecard
Afghanistan,Sri Lanka,Afghanistan,8 runs,Hangzhou,"Oct 4, 2023",T20I # 2282,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/afghanistan-vs-sri-lanka-3rd-quarter-final-1399115/full-scorecard
Bermuda,Cayman Is,Bermuda,53 runs,Hamilton,"Oct 3, 2023",T20I # 2281,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-americas-region-final-2023-24-1399133/bermuda-vs-cayman-islands-6th-match-1399155/full-scorecard
Canada,Panama,Canada,163 runs,Hamilton,"Oct 3, 2023",T20I # 2280,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-americas-region-final-2023-24-1399133/canada-vs-panama-5th-match-1399154/full-scorecard
Hong Kong,Pakistan,Pakistan,68 runs,Hangzhou,"Oct 3, 2023",T20I # 2279,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/hong-kong-vs-pakistan-2nd-quarter-final-1399114/full-scorecard
India,Nepal,India,23 runs,Hangzhou,"Oct 3, 2023",T20I # 2278,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/india-vs-nepal-1st-quarter-final-1399113/full-scorecard
Maldives,Saudi Arabia,Saudi Arabia,9 wickets,Doha,"Oct 2, 2023",T20I # 2277,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/maldives-vs-saudi-arabia-8th-match-1399145/full-scorecard
Qatar,Kuwait,Kuwait,5 wickets,Doha,"Oct 2, 2023",T20I # 2276,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/qatar-vs-kuwait-7th-match-1399144/full-scorecard
Malaysia,Thailand,Malaysia,194 runs,Hangzhou,"Oct 2, 2023",T20I # 2275,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/malaysia-vs-thailand-9th-match-group-c-1399112/full-scorecard
Canada,Cayman Is,Canada,108 runs,Sandys Parish,"Oct 1, 2023",T20I # 2274,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-americas-region-final-2023-24-1399133/canada-vs-cayman-islands-4th-match-1399153/full-scorecard
Bermuda,Panama,Bermuda,7 wickets,Sandys Parish,"Oct 1, 2023",T20I # 2273,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-americas-region-final-2023-24-1399133/bermuda-vs-panama-3rd-match-1399152/full-scorecard
Kuwait,Saudi Arabia,Saudi Arabia,3 wickets,Doha,"Oct 1, 2023",T20I # 2272,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/kuwait-vs-saudi-arabia-6th-match-1399143/full-scorecard
Hong Kong,Japan,Hong Kong,5 wickets,Hangzhou,"Oct 1, 2023",T20I # 2270,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/hong-kong-vs-japan-8th-match-group-b-1399111/full-scorecard
Qatar,Maldives,Qatar,9 wickets,Doha,"Oct 1, 2023",T20I # 2271,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/qatar-vs-maldives-5th-match-1399142/full-scorecard
Maldives,Nepal,Nepal,138 runs,Hangzhou,"Oct 1, 2023",T20I # 2269,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/maldives-vs-nepal-7th-match-group-a-1399110/full-scorecard
Cayman Is,Panama,Cayman Is,7 wickets,Sandys Parish,"Sep 30, 2023",T20I # 2268,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-americas-region-final-2023-24-1399133/cayman-islands-vs-panama-2nd-match-1399151/full-scorecard
Gibraltar,Estonia,Estonia,8 wickets,Gibraltar,"Sep 30, 2023",T20I # 2267,https://www.espncricinfo.com/series/estonia-in-gibraltar-2023-1391326/gibraltar-vs-estonia-2nd-t20i-1391339/full-scorecard
Bermuda,Canada,Bermuda,86 runs,Sandys Parish,"Sep 30, 2023",T20I # 2266,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-americas-region-final-2023-24-1399133/bermuda-vs-canada-1st-match-1399150/full-scorecard
Gibraltar,Estonia,Gibraltar,2 wickets,Gibraltar,"Sep 30, 2023",T20I # 2265,https://www.espncricinfo.com/series/estonia-in-gibraltar-2023-1391326/gibraltar-vs-estonia-1st-t20i-1391338/full-scorecard
Qatar,Saudi Arabia,Saudi Arabia,4 wickets,Doha,"Sep 29, 2023",T20I # 2264,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/qatar-vs-saudi-arabia-4th-match-1399141/full-scorecard
Singapore,Thailand,Singapore,99 runs,Hangzhou,"Sep 29, 2023",T20I # 2262,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/singapore-vs-thailand-6th-match-group-c-1399109/full-scorecard
Kuwait,Maldives,Kuwait,7 wickets,Doha,"Sep 29, 2023",T20I # 2263,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/kuwait-vs-maldives-3rd-match-1399140/full-scorecard
Cambodia,Hong Kong,Hong Kong,9 wickets,Hangzhou,"Sep 29, 2023",T20I # 2261,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/cambodia-vs-hong-kong-5th-match-group-b-1399108/full-scorecard
Maldives,Saudi Arabia,Saudi Arabia,62 runs,Doha,"Sep 28, 2023",T20I # 2260,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/maldives-vs-saudi-arabia-2nd-match-1399139/full-scorecard
Maldives,Mongolia,Maldives,9 wickets,Hangzhou,"Sep 28, 2023",T20I # 2258,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/maldives-vs-mongolia-4th-match-group-a-1399107/full-scorecard
Qatar,Kuwait,Kuwait,7 wickets,Doha,"Sep 28, 2023",T20I # 2259,https://www.espncricinfo.com/series/men-s-t20-world-cup-sub-regional-asia-qualifier-a-2023-24-1399129/qatar-vs-kuwait-1st-match-1399138/full-scorecard
Malaysia,Singapore,Malaysia,73 runs,Hangzhou,"Sep 28, 2023",T20I # 2257,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/malaysia-vs-singapore-3rd-match-group-c-1399106/full-scorecard
Cambodia,Japan,Japan,3 wickets,Hangzhou,"Sep 27, 2023",T20I # 2256,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/cambodia-vs-japan-2nd-match-group-b-1399105/full-scorecard
Mongolia,Nepal,Nepal,273 runs,Hangzhou,"Sep 27, 2023",T20I # 2255,https://www.espncricinfo.com/series/asian-games-men-s-cricket-competition-2023-1398685/mongolia-vs-nepal-1st-match-group-a-1399104/full-scorecard
Hong Kong,P.N.G.,P.N.G.,1 wicket,Kuala Lumpur,"Sep 24, 2023",T20I # 2254,https://www.espncricinfo.com/series/malaysia-tri-nation-t20i-series-2023-1398291/hong-kong-vs-papua-new-guinea-6th-match-1398300/full-scorecard
Oman,U.A.E.,Oman,5 wickets,Doha,"Sep 23, 2023",T20I # 2253,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/oman-vs-united-arab-emirates-final-1397439/full-scorecard
Malaysia,P.N.G.,P.N.G.,4 wickets,Kuala Lumpur,"Sep 23, 2023",T20I # 2252,https://www.espncricinfo.com/series/malaysia-tri-nation-t20i-series-2023-1398291/malaysia-vs-papua-new-guinea-5th-match-1398299/full-scorecard
Kuwait,Oman,Oman,68 runs,Doha,"Sep 22, 2023",T20I # 2251,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/kuwait-vs-oman-15th-match-1397438/full-scorecard
Bahrain,U.A.E.,Bahrain,3 runs,Doha,"Sep 22, 2023",T20I # 2250,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/bahrain-vs-united-arab-emirates-14th-match-1397437/full-scorecard
Malaysia,Hong Kong,Malaysia,23 runs,Kuala Lumpur,"Sep 22, 2023",T20I # 2249,https://www.espncricinfo.com/series/malaysia-tri-nation-t20i-series-2023-1398291/malaysia-vs-hong-kong-4th-match-1398298/full-scorecard
Qatar,Saudi Arabia,Qatar,7 wickets,Doha,"Sep 21, 2023",T20I # 2248,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/qatar-vs-saudi-arabia-13th-match-1397436/full-scorecard
Hong Kong,P.N.G.,P.N.G.,22 runs,Kuala Lumpur,"Sep 21, 2023",T20I # 2247,https://www.espncricinfo.com/series/malaysia-tri-nation-t20i-series-2023-1398291/hong-kong-vs-papua-new-guinea-3rd-match-1398297/full-scorecard
Oman,Saudi Arabia,Oman,47 runs,Doha,"Sep 20, 2023",T20I # 2246,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/oman-vs-saudi-arabia-12th-match-1392813/full-scorecard
Qatar,U.A.E.,U.A.E.,60 runs,Doha,"Sep 20, 2023",T20I # 2245,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/qatar-vs-united-arab-emirates-11th-match-1392812/full-scorecard
Malaysia,P.N.G.,P.N.G.,45 runs,Kuala Lumpur,"Sep 20, 2023",T20I # 2244,https://www.espncricinfo.com/series/malaysia-tri-nation-t20i-series-2023-1398291/malaysia-vs-papua-new-guinea-2nd-match-1398296/full-scorecard
Bahrain,Oman,Bahrain,1 run,Doha,"Sep 19, 2023",T20I # 2243,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/bahrain-vs-oman-10th-match-1392811/full-scorecard
Kuwait,U.A.E.,U.A.E.,31 runs,Doha,"Sep 19, 2023",T20I # 2242,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/kuwait-vs-united-arab-emirates-9th-match-1392810/full-scorecard
Malaysia,Hong Kong,Malaysia,102 runs,Kuala Lumpur,"Sep 19, 2023",T20I # 2241,https://www.espncricinfo.com/series/malaysia-tri-nation-t20i-series-2023-1398291/malaysia-vs-hong-kong-1st-match-1398295/full-scorecard
Bahrain,Saudi Arabia,Bahrain,6 wickets,Doha,"Sep 18, 2023",T20I # 2240,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/bahrain-vs-saudi-arabia-8th-match-1392809/full-scorecard
Qatar,Kuwait,Qatar,1 run,Doha,"Sep 18, 2023",T20I # 2239,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/qatar-vs-kuwait-7th-match-1392808/full-scorecard
Saudi Arabia,U.A.E.,U.A.E.,8 wickets,Doha,"Sep 17, 2023",T20I # 2238,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/saudi-arabia-vs-united-arab-emirates-6th-match-1392807/full-scorecard
Qatar,Oman,Oman,19 runs,Doha,"Sep 17, 2023",T20I # 2237,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/qatar-vs-oman-5th-match-1392806/full-scorecard
Bahrain,Kuwait,Kuwait,8 wickets,Doha,"Sep 16, 2023",T20I # 2236,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/bahrain-vs-kuwait-4th-match-1392805/full-scorecard
Oman,U.A.E.,U.A.E.,22 runs,Doha,"Sep 16, 2023",T20I # 2235,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/oman-vs-united-arab-emirates-3rd-match-1392804/full-scorecard
Qatar,Bahrain,Qatar,19 runs,Doha,"Sep 15, 2023",T20I # 2234,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/qatar-vs-bahrain-2nd-match-1392803/full-scorecard
Kuwait,Saudi Arabia,Kuwait,5 wickets,Doha,"Sep 15, 2023",T20I # 2233,https://www.espncricinfo.com/series/gulf-cricket-t20i-championship-2023-1392788/kuwait-vs-saudi-arabia-1st-match-1392802/full-scorecard
England,New Zealand,New Zealand,6 wickets,Nottingham,"Sep 5, 2023",T20I # 2232,https://www.espncricinfo.com/series/new-zealand-in-england-2023-1336039/england-vs-new-zealand-4th-t20i-1336051/full-scorecard
England,New Zealand,New Zealand,74 runs,Birmingham,"Sep 3, 2023",T20I # 2231,https://www.espncricinfo.com/series/new-zealand-in-england-2023-1336039/england-vs-new-zealand-3rd-t20i-1336050/full-scorecard
South Africa,Australia,Australia,5 wickets,Durban,"Sep 3, 2023",T20I # 2230,https://www.espncricinfo.com/series/australia-tour-of-south-africa-2023-24-1373562/south-africa-vs-australia-3rd-t20i-1373570/full-scorecard
England,New Zealand,England,95 runs,Manchester,"Sep 1, 2023",T20I # 2229,https://www.espncricinfo.com/series/new-zealand-in-england-2023-1336039/england-vs-new-zealand-2nd-t20i-1336049/full-scorecard
South Africa,Australia,Australia,8 wickets,Durban,"Sep 1, 2023",T20I # 2228,https://www.espncricinfo.com/series/australia-tour-of-south-africa-2023-24-1373562/south-africa-vs-australia-2nd-t20i-1373569/full-scorecard
Rwanda,Tanzania,Tanzania,49 runs,Rwanda,"Aug 31, 2023",T20I # 2227,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/rwanda-vs-tanzania-18th-match-1393332/full-scorecard
Rwanda,Uganda,Uganda,8 wickets,Rwanda,"Aug 31, 2023",T20I # 2226,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/rwanda-vs-uganda-17th-match-1393320/full-scorecard
England,New Zealand,England,7 wickets,Chester-le-Street,"Aug 30, 2023",T20I # 2225,https://www.espncricinfo.com/series/new-zealand-in-england-2023-1336039/england-vs-new-zealand-1st-t20i-1336048/full-scorecard
South Africa,Australia,Australia,111 runs,Durban,"Aug 30, 2023",T20I # 2224,https://www.espncricinfo.com/series/australia-tour-of-south-africa-2023-24-1373562/south-africa-vs-australia-1st-t20i-1373568/full-scorecard
Rwanda,Tanzania,Tanzania,59 runs,Rwanda,"Aug 30, 2023",T20I # 2223,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/rwanda-vs-tanzania-16th-match-1393331/full-scorecard
Tanzania,Uganda,Uganda,19 runs,Rwanda,"Aug 30, 2023",T20I # 2222,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/tanzania-vs-uganda-15th-match-1393319/full-scorecard
Rwanda,Uganda,Uganda,8 wickets,Rwanda,"Aug 28, 2023",T20I # 2221,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/rwanda-vs-uganda-14th-match-1393318/full-scorecard
Tanzania,Uganda,Uganda,59 runs,Rwanda,"Aug 28, 2023",T20I # 2220,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/tanzania-vs-uganda-13th-match-1393317/full-scorecard
Rwanda,Uganda,Uganda,6 wickets,Rwanda,"Aug 27, 2023",T20I # 2219,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/rwanda-vs-uganda-12th-match-1393316/full-scorecard
Rwanda,Tanzania,Tanzania,9 runs,Rwanda,"Aug 27, 2023",T20I # 2218,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/rwanda-vs-tanzania-11th-match-1393330/full-scorecard
Tanzania,Uganda,Uganda,19 runs,Rwanda,"Aug 25, 2023",T20I # 2217,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/tanzania-vs-uganda-10th-match-1393329/full-scorecard
Rwanda,Tanzania,Tanzania,1 wicket,Rwanda,"Aug 25, 2023",T20I # 2216,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/rwanda-vs-tanzania-9th-match-1393315/full-scorecard
Tanzania,Uganda,Uganda,60 runs,Rwanda,"Aug 24, 2023",T20I # 2215,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/tanzania-vs-uganda-8th-match-1393314/full-scorecard
Rwanda,Uganda,Uganda,86 runs,Rwanda,"Aug 24, 2023",T20I # 2214,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/rwanda-vs-uganda-7th-match-1393313/full-scorecard
Rwanda,Tanzania,Tanzania,7 wickets,Rwanda,"Aug 22, 2023",T20I # 2213,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/rwanda-vs-tanzania-6th-match-1393328/full-scorecard
Rwanda,Uganda,Uganda,61 runs,Rwanda,"Aug 22, 2023",T20I # 2212,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/rwanda-vs-uganda-5th-match-1393312/full-scorecard
Tanzania,Uganda,Tanzania,3 wickets,Rwanda,"Aug 21, 2023",T20I # 2211,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/tanzania-vs-uganda-4th-match-1393311/full-scorecard
Rwanda,Tanzania,Rwanda,7 wickets,Rwanda,"Aug 21, 2023",T20I # 2210,https://www.espncricinfo.com/series/east-africa-cup-2023-1393305/rwanda-vs-tanzania-3rd-match-1393327/full-scorecard
Ireland,India,India,33 runs,Dublin (Malahide),"Aug 20, 2023",T20I # 2208,https://www.espncricinfo.com/series/india-in-ireland-2023-1384631/ireland-vs-india-2nd-t20i-1384637/full-scorecard
